target,train_rows,holdout_rows,baseline_macro_f1,model_macro_f1,model_balanced_accuracy,model_accuracy,macro_f1_improvement_vs_baseline
cooler_condition_pct,1762,443,0.1677927927927928,1.0,1.0,1.0,0.8322072072072072
valve_condition_pct,1764,441,0.16891891891891891,0.604108415527144,0.6404166666666666,0.5215419501133787,0.4351894966082251
internal_pump_leakage_class,1762,443,0.2374031007751938,0.9244328229755786,0.9371813371813372,0.9390519187358917,0.6870297222003848
hydraulic_accumulator_bar,1763,442,0.13410596026490065,0.5319655589065303,0.5980324074074075,0.5271493212669683,0.3978595986416297
stable_flag,1763,442,0.39617486338797814,0.8052488845034411,0.7852313974591651,0.8393665158371041,0.409074021115463
